Date,,,,,,,Qty,Frac,Item,Unit,Cals,Carb,Fib.
,,,,,,,,,"Protein yoghurt, passion fruit",200,70,6.8,0
,,,,,,,2.5,,Thins,40,225,38.6,3.5
,,,,,,,124,,Cottage cheese,1,75,6.4,0.1
,,,,,,,100,,Smoked salmon,1,204,1.1,0.2
,,,,,,,3,,Dates,19,279,64.5,6.7
,,,,,,,,,Paprika crisps,27,143,13.8,0.8
,,,,,,,750,,"Ginger beer, diet",1,1.7,0,0
,,,,,,,,,"Big Tasty, whole thing (blame Paul!)",100,799,50,4.3
,,,,,,,,,"Mcdonalds Medium fries, whole thing",100,337,42,3.6
,,,,,,,,,Coffee milk,60,37,5.2,0
,,,,,,,2,,Sugar,3,400,99.9,0
16/07/19,,,,,,,2,,Oatibix,21.5,395,64,7.3
,,,,,,,150,,"Milk, skimmed",1,37,5,0
,,,,,,,,,"Banana, small",85,103,23.2,1.1
,,,,,,,,,"Coffee, milk",60,37,5.2,0
,,,,,,,,,"Half sugar, 1/3 teaspoon",1.3,400,98.9,0
,,,,,,,,,"Fish pie, Sainsburys",450,117,10.6,0.9
,,,,,,,3,,"Celery, stick",50,16,3,1.6
,,,,,,,75,,Tzatziki,1,129,4.4,0.3
,,,,,,,,,"Banana, small",85,103,23.2,1.1
,,,,,,,,,"Soup, glorious",600,37,4.9,1.5
,,,,,,,1.5,,Thins,40,225,38.6,3.5
,,,,,,,50,,Greek cheese,1,261,0,0
,,,,,,,150,16,Dessicated coconut,1,629,6.4,11.5
,,,,,,,50,16,Sunflower seeds,1,598,18.6,6
,,,,,,,50,16,Hemp protein powder,1,362,10,13
,,,,,,,25,16,"Honey, runny",1,329,81.5,0.2
,,,,,,,,16,"Vanilla paste, tsp",5,340,60,0
,,,,,,,,16,"Coconut oil, tbsp",15,898,0,0
,,,,,,,,16,"Cinnamon, tsp",2.5,247,81,53
17/07/19,,,,,,,3,16,Dessicated coconut,150,629,6.4,11.5
,,,,,,,3,16,Sunflower seeds,50,598,18.6,6
,,,,,,,3,16,Hemp protein powder,50,362,10,13
,,,,,,,3,16,"Honey, runny",25,329,81.5,0.2
,,,,,,,3,16,"Vanilla paste, tsp",5,340,60,0
,,,,,,,3,16,"Coconut oil, tbsp",15,898,0,0
,,,,,,,3,16,"Cinnamon, tsp",2.5,247,81,53
,,,,,,,,,"Protein yoghurt, blueberry",200,62,5.3,0
,,,,,,,,,"Banana, small",85,103,23.2,1.1
,,,,,,,3,,Oatibix,21.5,395,64,7.3
,,,,,,,260,,"Milk, skimmed",1,37,5,0
,,,,,,,,4,Pepper Orange,115,32,7.6,1.4
,,,,,,,,4,Onion,240,34.8,7.8,1.5
,,,,,,,2,4,"Garlic, clove",3,133,33.1,2.1
,,,,,,,21,4,Spray oil,0.2,2,0.3,0.1
,,,,,,,,4,Dolmio Bolognese (N.A.S.),750,38,6.2,1.3
,,,,,,,,4,Beef mince,500,168,0.1,0
,,,,,,,150,,Spaghetti,1,367.5,73.5,3.2
18/07/19,,,,,,,2,,Oatibix,21.5,395,64,7.3
,,,,,,,200,,"Milk, skimmed",1,37,5,0
,,,,,,,1000,,"Tonic water, diet",1,2,0,0
,,,,,,,300,1.5,Grapefruit squash,1,7,1.4,0
,,,,,,,,4,Pepper Orange,115,32,7.6,1.4
,,,,,,,,4,Onion,240,34.8,7.8,1.5
,,,,,,,2,4,"Garlic, clove",3,133,33.1,2.1
,,,,,,,21,4,Spray oil,0.2,2,0.3,0.1
,,,,,,,,4,Dolmio Bolognese (N.A.S.),750,38,6.2,1.3
,,,,,,,,4,Beef mince,500,168,0.1,0
,,,,,,,2,,Lo-dough pieces,28,139,7.9,33.2
,,,,,,,,,"Banana, small",85,103,23.2,1.1
,,,,,,,,2,"Pepper, red",115,32,7.6,1.4
,,,,,,,,2,Onion,240,34.8,7.8,1.5
,,,,,,,2,2,"Garlic, clove",3,133,33.1,2.1
